序號,答案
20240329122001,17.86
20240329123001,0.0
20240329124001,15.82
20240329125001,14.2
20240329130001,0.0
20240329131001,2.61
20240329132001,0.0
20240329133001,0.0
20240329134001,0.0
20240329135001,0.0
20240329140001,3.23
20240329141001,32.6
20240329142001,2.55
20240329143001,11.61
20240329144001,12.91
20240329145001,10.71
20240329150001,2.17
20240329151001,7.72
20240329152001,2.31
20240329153001,0.0
20240329154001,0.0
20240329155001,0.0
20240329160001,0.0
20240329161001,0.0
20240329162001,0.0
20240329163001,0.0
20240329164001,0.0
20240329165001,0.0
20240428090001,177.68
20240428091001,133.04
20240428092001,77.99
20240428093001,62.84
20240428094001,28.86
20240428095001,67.19
20240428100001,139.05
20240428101001,255.21
20240428102001,480.06
20240428103001,572.05
20240428104001,796.77
20240428105001,774.41
20240428110001,1147.45
20240428111001,1187.86
20240428112001,911.2
20240428113001,661.45
20240428114001,529.91
20240428115001,559.35
20240428120001,369.03
20240428121001,227.66
20240428122001,229.56
20240428123001,254.16
20240428124001,247.84
20240428125001,199.62
20240428130001,181.54
20240428131001,184.45
20240428132001,163.58
20240428133001,105.92
20240428134001,82.33
20240428135001,103.69
20240428140001,88.14
20240428141001,91.03
20240428142001,105.43
20240428143001,147.19
20240428144001,167.46
20240428145001,177.2
20240428150001,189.67
20240428151001,256.15
20240428152001,255.49
20240428153001,178.16
20240428154001,170.54
20240428155001,173.9
20240428160001,56.94
20240428161001,19.32
20240428162001,5.45
20240428163001,0.0
20240428164001,0.0
20240428165001,5.27
20240430090001,887.79
20240430091001,724.51
20240430092001,1007.61
20240430093001,1106.63
20240430094001,1167.92
20240430095001,1258.04
20240430100001,1281.09
20240430101001,1195.97
20240430102001,1222.58
20240430103001,1338.15
20240430104001,1447.79
20240430105001,1259.97
20240430110001,1434.51
20240430111001,1374.9
20240430112001,1392.85
20240430113001,1508.93
20240430114001,1531.11
20240430115001,1458.13
20240430120001,1170.89
20240430121001,1266.93
20240430122001,1119.77
20240430123001,1229.15
20240430124001,1119.35
20240430125001,959.74
20240430130001,773.7
20240430131001,874.76
20240430132001,847.75
20240430133001,847.47
20240430134001,803.88
20240430135001,658.15
20240430140001,569.28
20240430141001,426.34
20240430142001,493.09
20240430143001,399.64
20240430144001,439.82
20240430145001,444.18
20240430150001,184.26
20240430151001,123.3
20240430152001,93.62
20240430153001,103.55
20240430154001,49.56
20240430155001,52.75
20240430160001,18.75
20240430161001,0.43
20240430162001,0.0
20240430163001,0.0
20240430164001,0.0
20240430165001,0.0
20240515090001,993.29
20240515091001,1021.69
20240515092001,926.31
20240515093001,854.32
20240515094001,824.3
20240515095001,715.0
20240515100001,951.75
20240515101001,1013.17
20240515102001,905.32
20240515103001,952.26
20240515104001,961.02
20240515105001,986.16
20240515110001,1405.25
20240515111001,1337.46
20240515112001,1247.21
20240515113001,1183.62
20240515114001,1057.9
20240515115001,985.03
20240515120001,961.23
20240515121001,1031.57
20240515122001,1125.45
20240515123001,1107.8
20240515124001,1060.86
20240515125001,1049.32
20240515130001,1215.63
20240515131001,1163.0
20240515132001,1132.0
20240515133001,892.46
20240515134001,740.65
20240515135001,741.49
20240515140001,460.35
20240515141001,327.31
20240515142001,260.72
20240515143001,174.11
20240515144001,140.19
20240515145001,66.38
20240515150001,68.39
20240515151001,75.48
20240515152001,57.98
20240515153001,52.1
20240515154001,45.82
20240515155001,35.57
20240515160001,27.43
20240515161001,21.45
20240515162001,19.53
20240515163001,18.71
20240515164001,9.29
20240515165001,2.55
20240520090001,400.29
20240520091001,358.09
20240520092001,357.4
20240520093001,339.23
20240520094001,300.77
20240520095001,354.51
20240520100001,302.06
20240520101001,270.54
20240520102001,281.04
20240520103001,276.76
20240520104001,419.19
20240520105001,412.08
20240520110001,450.25
20240520111001,396.82
20240520112001,332.7
20240520113001,246.7
20240520114001,238.23
20240520115001,313.35
20240520120001,274.91
20240520121001,233.65
20240520122001,212.53
20240520123001,210.46
20240520124001,214.77
20240520125001,233.13
20240520130001,182.65
20240520131001,158.1
20240520132001,128.51
20240520133001,113.01
20240520134001,110.86
20240520135001,117.08
20240520140001,108.06
20240520141001,97.1
20240520142001,104.82
20240520143001,122.4
20240520144001,115.38
20240520145001,116.83
20240520150001,102.02
20240520151001,88.1
20240520152001,54.15
20240520153001,41.64
20240520154001,30.59
20240520155001,1.64
20240520160001,59.72
20240520161001,61.2
20240520162001,36.08
20240520163001,27.02
20240520164001,12.98
20240520165001,20.86
20240613090001,44.04
20240613091001,48.07
20240613092001,57.25
20240613093001,39.37
20240613094001,71.43
20240613095001,51.77
20240613100001,101.88
20240613101001,130.78
20240613102001,215.2
20240613103001,318.53
20240613104001,345.89
20240613105001,275.48
20240613110001,482.19
20240613111001,410.17
20240613112001,397.71
20240613113001,578.67
20240613114001,751.99
20240613115001,611.82
20240613120001,405.16
20240613121001,423.2
20240613122001,388.7
20240613123001,513.06
20240613124001,619.61
20240613125001,696.39
20240613130001,784.52
20240613131001,675.83
20240613132001,468.82
20240613133001,428.51
20240613134001,482.1
20240613135001,588.8
20240613140001,640.15
20240613141001,537.05
20240613142001,377.8
20240613143001,187.63
20240613144001,209.5
20240613145001,192.03
20240613150001,73.13
20240613151001,82.83
20240613152001,67.54
20240613153001,70.79
20240613154001,95.99
20240613155001,119.65
20240613160001,86.12
20240613161001,52.2
20240613162001,50.65
20240613163001,27.13
20240613164001,10.52
20240613165001,19.45
20240615090001,792.64
20240615091001,551.62
20240615092001,483.35
20240615093001,513.78
20240615094001,484.05
20240615095001,437.52
20240615100001,619.64
20240615101001,620.88
20240615102001,497.48
20240615103001,467.08
20240615104001,500.8
20240615105001,579.67
20240615110001,657.68
20240615111001,756.74
20240615112001,661.67
20240615113001,792.49
20240615114001,817.64
20240615115001,902.39
20240615120001,785.3
20240615121001,737.93
20240615122001,429.78
20240615123001,485.05
20240615124001,525.36
20240615125001,619.91
20240615130001,667.28
20240615131001,661.04
20240615132001,666.61
20240615133001,430.43
20240615134001,467.45
20240615135001,384.66
20240615140001,482.95
20240615141001,441.32
20240615142001,428.82
20240615143001,347.62
20240615144001,349.43
20240615145001,298.33
20240615150001,341.44
20240615151001,378.94
20240615152001,382.73
20240615153001,296.15
20240615154001,258.21
20240615155001,203.73
20240615160001,28.91
20240615161001,105.11
20240615162001,45.0
20240615163001,5.3
20240615164001,0.0
20240615165001,9.57
20240703090001,324.16
20240703091001,407.22
20240703092001,498.47
20240703093001,655.98
20240703094001,701.47
20240703095001,551.36
20240703100001,326.61
20240703101001,301.89
20240703102001,525.02
20240703103001,576.36
20240703104001,593.28
20240703105001,691.13
20240703110001,795.87
20240703111001,766.3
20240703112001,783.4
20240703113001,734.0
20240703114001,852.39
20240703115001,844.91
20240703120001,854.25
20240703121001,774.07
20240703122001,755.02
20240703123001,761.43
20240703124001,554.81
20240703125001,536.42
20240703130001,641.12
20240703131001,681.25
20240703132001,744.99
20240703133001,713.2
20240703134001,685.24
20240703135001,607.83
20240703140001,715.52
20240703141001,691.09
20240703142001,632.59
20240703143001,399.27
20240703144001,300.98
20240703145001,321.51
20240703150001,355.56
20240703151001,374.96
20240703152001,329.49
20240703153001,291.77
20240703154001,144.3
20240703155001,86.58
20240703160001,55.51
20240703161001,48.26
20240703162001,0.0
20240703163001,0.0
20240703164001,0.0
20240703165001,0.0
20240707090001,701.75
20240707091001,750.72
20240707092001,782.15
20240707093001,801.23
20240707094001,808.8
20240707095001,893.94
20240707100001,1097.3
20240707101001,1059.28
20240707102001,1077.55
20240707103001,1120.76
20240707104001,1168.37
20240707105001,1093.88
20240707110001,968.81
20240707111001,993.4
20240707112001,1010.35
20240707113001,1068.31
20240707114001,1036.28
20240707115001,1086.93
20240707120001,1094.56
20240707121001,1071.55
20240707122001,1061.87
20240707123001,1008.1
20240707124001,962.8
20240707125001,880.03
20240707130001,825.95
20240707131001,865.14
20240707132001,853.51
20240707133001,818.2
20240707134001,675.21
20240707135001,657.86
20240707140001,720.02
20240707141001,700.89
20240707142001,594.33
20240707143001,557.73
20240707144001,588.94
20240707145001,547.26
20240707150001,387.49
20240707151001,248.23
20240707152001,190.54
20240707153001,131.36
20240707154001,95.79
20240707155001,106.49
20240707160001,87.32
20240707161001,69.49
20240707162001,47.33
20240707163001,39.66
20240707164001,21.66
20240707165001,14.06
20240125090002,20.63
20240125091002,28.64
20240125092002,24.98
20240125093002,38.28
20240125094002,49.1
20240125095002,66.98
20240125100002,84.86
20240125101002,96.31
20240125102002,110.82
20240125103002,111.19
20240125104002,136.76
20240125105002,217.99
20240125110002,206.25
20240125111002,215.72
20240125112002,203.1
20240125113002,185.4
20240125114002,202.8
20240125115002,265.73
20240125120002,140.82
20240125121002,101.65
20240125122002,153.83
20240125123002,170.8
20240125124002,175.25
20240125125002,144.98
20240125130002,129.28
20240125131002,137.67
20240125132002,96.91
20240125133002,135.52
20240125134002,139.48
20240125135002,121.34
20240125140002,117.33
20240125141002,90.28
20240125142002,67.8
20240125143002,67.86
20240125144002,52.16
20240125145002,37.84
20240125150002,21.73
20240125151002,17.01
20240125152002,11.07
20240125153002,7.11
20240125154002,8.16
20240125155002,0.0
20240125160002,8.15
20240125161002,6.95
20240125162002,6.03
20240125163002,2.11
20240125164002,6.11
20240125165002,5.0
20240128090002,6.32
20240128091002,16.16
20240128092002,16.86
20240128093002,25.6
20240128094002,8.95
20240128095002,15.53
20240128100002,1.59
20240128101002,38.33
20240128102002,37.58
20240128103002,55.18
20240128104002,82.97
20240128105002,179.86
20240128110002,203.42
20240128111002,152.68
20240128112002,138.55
20240128113002,142.13
20240128114002,131.67
20240128115002,147.26
20240128120002,95.53
20240128121002,97.95
20240128122002,68.47
20240128123002,69.47
20240128124002,67.8
20240128125002,65.3
20240128130002,88.1
20240128131002,76.64
20240128132002,69.96
20240128133002,73.48
20240128134002,75.69
20240128135002,77.34
20240128140002,62.0
20240128141002,42.94
20240128142002,32.63
20240128143002,27.82
20240128144002,22.28
20240128145002,22.95
20240128150002,19.71
20240128151002,22.27
20240128152002,16.36
20240128153002,15.03
20240128154002,12.19
20240128155002,5.88
20240128160002,0.0
20240128161002,0.0
20240128162002,0.0
20240128163002,0.0
20240128164002,0.0
20240128165002,0.0
20240213090002,922.03
20240213091002,1287.27
20240213092002,1310.66
20240213093002,1492.49
20240213094002,1599.55
20240213095002,1600.91
20240213100002,1696.66
20240213101002,1670.03
20240213102002,1807.45
20240213103002,1923.93
20240213104002,1839.66
20240213105002,1904.48
20240213110002,1982.2
20240213111002,1933.84
20240213112002,1871.34
20240213113002,1953.8
20240213114002,1908.94
20240213115002,1873.04
20240213120002,1860.06
20240213121002,1693.71
20240213122002,1509.53
20240213123002,1486.01
20240213124002,1583.43
20240213125002,1662.01
20240213130002,933.74
20240213131002,445.42
20240213132002,342.11
20240213133002,382.39
20240213134002,125.96
20240213135002,178.47
20240213140002,131.97
20240213141002,104.27
20240213142002,121.49
20240213143002,117.75
20240213144002,125.57
20240213145002,113.97
20240213150002,91.14
20240213151002,77.56
20240213152002,74.77
20240213153002,59.43
20240213154002,44.56
20240213155002,31.02
20240213160002,23.12
20240213161002,21.74
20240213162002,14.77
20240213163002,15.75
20240213164002,12.13
20240213165002,13.71
20240226090002,46.9
20240226091002,55.67
20240226092002,66.65
20240226093002,75.19
20240226094002,76.37
20240226095002,79.87
20240226100002,103.36
20240226101002,134.87
20240226102002,139.62
20240226103002,166.85
20240226104002,173.32
20240226105002,177.2
20240226110002,168.77
20240226111002,153.41
20240226112002,114.41
20240226113002,98.41
20240226114002,102.69
20240226115002,112.54
20240226120002,97.75
20240226121002,89.91
20240226122002,82.28
20240226123002,73.54
20240226124002,98.85
20240226125002,78.99
20240226130002,74.29
20240226131002,85.0
20240226132002,70.17
20240226133002,66.81
20240226134002,79.58
20240226135002,65.3
20240226140002,53.71
20240226141002,45.54
20240226142002,27.22
20240226143002,27.7
20240226144002,13.05
20240226145002,16.02
20240226150002,26.75
20240226151002,25.47
20240226152002,21.19
20240226153002,14.29
20240226154002,12.86
20240226155002,11.31
20240226160002,2.96
20240226161002,1.47
20240226162002,0.0
20240226163002,0.0
20240226164002,0.0
20240226165002,0.0
20240319090002,15.94
20240319091002,12.6
20240319092002,21.12
20240319093002,24.7
20240319094002,32.06
20240319095002,39.82
20240319100002,25.58
20240319101002,26.99
20240319102002,26.62
20240319103002,32.3
20240319104002,24.12
20240319105002,25.25
20240319110002,31.79
20240319111002,40.24
20240319112002,36.79
20240319113002,43.16
20240319114002,47.32
20240319115002,56.92
20240319120002,57.35
20240319121002,56.48
20240319122002,56.92
20240319123002,50.21
20240319124002,42.25
20240319125002,45.6
20240319130002,38.86
20240319131002,34.53
20240319132002,31.64
20240319133002,19.39
20240319134002,9.71
20240319135002,9.41
20240319140002,13.65
20240319141002,11.13
20240319142002,7.7
20240319143002,9.15
20240319144002,12.48
20240319145002,12.32
20240319150002,22.99
20240319151002,20.1
20240319152002,6.18
20240319153002,4.23
20240319154002,5.33
20240319155002,10.45
20240319160002,0.55
20240319161002,0.25
20240319162002,0.0
20240319163002,0.03
20240319164002,0.0
20240319165002,0.0
20240427090002,67.44
20240427091002,84.78
20240427092002,74.25
20240427093002,84.12
20240427094002,122.61
20240427095002,113.38
20240427100002,230.48
20240427101002,190.29
20240427102002,181.07
20240427103002,162.92
20240427104002,204.23
20240427105002,235.51
20240427110002,188.21
20240427111002,211.55
20240427112002,163.78
20240427113002,159.58
20240427114002,167.71
20240427115002,158.49
20240427120002,116.11
20240427121002,88.92
20240427122002,83.15
20240427123002,101.16
20240427124002,68.85
20240427125002,82.98
20240427130002,117.73
20240427131002,145.0
20240427132002,169.95
20240427133002,243.28
20240427134002,322.72
20240427135002,270.31
20240427140002,336.48
20240427141002,288.11
20240427142002,263.33
20240427143002,199.79
20240427144002,239.84
20240427145002,179.74
20240427150002,182.59
20240427151002,173.65
20240427152002,147.63
20240427153002,113.76
20240427154002,121.97
20240427155002,132.8
20240427160002,104.55
20240427161002,88.17
20240427162002,61.44
20240427163002,43.93
20240427164002,33.81
20240427165002,21.48
20240508090002,222.95
20240508091002,217.21
20240508092002,236.38
20240508093002,175.15
20240508094002,132.97
20240508095002,156.23
20240508100002,112.27
20240508101002,112.39
20240508102002,115.81
20240508103002,72.65
20240508104002,46.65
20240508105002,55.19
20240508110002,23.09
20240508111002,11.08
20240508112002,36.36
20240508113002,28.59
20240508114002,58.22
20240508115002,55.85
20240508120002,66.81
20240508121002,89.78
20240508122002,96.23
20240508123002,88.42
20240508124002,53.17
20240508125002,23.84
20240508130002,67.45
20240508131002,72.0
20240508132002,72.78
20240508133002,100.91
20240508134002,82.69
20240508135002,81.86
20240508140002,74.19
20240508141002,58.64
20240508142002,53.19
20240508143002,37.36
20240508144002,35.47
20240508145002,16.07
20240508150002,25.82
20240508151002,14.9
20240508152002,19.37
20240508153002,18.63
20240508154002,17.99
20240508155002,16.11
20240508160002,12.23
20240508161002,11.3
20240508162002,6.71
20240508163002,10.96
20240508164002,2.86
20240508165002,7.08
20240705090002,801.58
20240705091002,896.6
20240705092002,925.79
20240705093002,943.65
20240705094002,971.19
20240705095002,921.8
20240705100002,1018.08
20240705101002,1065.47
20240705102002,1073.66
20240705103002,1033.01
20240705104002,1015.61
20240705105002,752.05
20240705110002,556.24
20240705111002,295.45
20240705112002,893.1
20240705113002,1101.04
20240705114002,1014.01
20240705115002,1013.41
20240705120002,1035.21
20240705121002,1111.72
20240705122002,1115.35
20240705123002,1034.14
20240705124002,1027.65
20240705125002,1017.5
20240705130002,1054.84
20240705131002,957.01
20240705132002,963.18
20240705133002,942.0
20240705134002,983.48
20240705135002,958.4
20240705140002,714.75
20240705141002,657.51
20240705142002,678.7
20240705143002,446.52
20240705144002,413.32
20240705145002,425.68
20240705150002,297.9
20240705151002,355.95
20240705152002,337.48
20240705153002,368.93
20240705154002,175.09
20240705155002,86.35
20240705160002,101.88
20240705161002,126.28
20240705162002,147.8
20240705163002,74.77
20240705164002,52.7
20240705165002,36.37
20240707090002,679.46
20240707091002,750.39
20240707092002,841.28
20240707093002,812.75
20240707094002,856.55
20240707095002,889.58
20240707100002,969.81
20240707101002,1002.68
20240707102002,992.9
20240707103002,1005.55
20240707104002,1093.37
20240707105002,1087.58
20240707110002,972.61
20240707111002,1004.19
20240707112002,980.14
20240707113002,1090.16
20240707114002,1088.25
20240707115002,1103.05
20240707120002,1093.2
20240707121002,1085.53
20240707122002,1073.11
20240707123002,1049.16
20240707124002,1028.86
20240707125002,1062.94
20240707130002,1008.57
20240707131002,910.24
20240707132002,876.6
20240707133002,809.51
20240707134002,842.0
20240707135002,826.67
20240707140002,848.21
20240707141002,769.79
20240707142002,624.21
20240707143002,630.38
20240707144002,663.37
20240707145002,484.17
20240707150002,254.29
20240707151002,258.7
20240707152002,214.34
20240707153002,160.01
20240707154002,137.29
20240707155002,133.84
20240707160002,89.04
20240707161002,73.39
20240707162002,68.48
20240707163002,49.87
20240707164002,33.73
20240707165002,27.43
20240317090003,1150.8
20240317091003,1318.86
20240317092003,1329.92
20240317093003,1340.42
20240317094003,1163.79
20240317095003,1151.11
20240317100003,1664.32
20240317101003,1714.29
20240317102003,1670.73
20240317103003,1658.1
20240317104003,1690.64
20240317105003,1736.49
20240317110003,1685.25
20240317111003,1681.03
20240317112003,1639.93
20240317113003,1463.48
20240317114003,1280.91
20240317115003,585.96
20240317120003,841.93
20240317121003,510.47
20240317122003,384.34
20240317123003,332.21
20240317124003,323.18
20240317125003,276.65
20240317130003,335.21
20240317131003,314.02
20240317132003,274.46
20240317133003,302.8
20240317134003,346.3
20240317135003,293.87
20240317140003,165.03
20240317141003,118.24
20240317142003,64.5
20240317143003,30.38
20240317144003,41.78
20240317145003,20.1
20240317150003,18.62
20240317151003,31.62
20240317152003,27.38
20240317153003,22.55
20240317154003,28.6
20240317155003,23.73
20240317160003,16.73
20240317161003,17.59
20240317162003,10.74
20240317163003,9.93
20240317164003,3.3
20240317165003,0.0
20240414090003,1061.65
20240414091003,1047.22
20240414092003,1055.87
20240414093003,1128.92
20240414094003,1016.78
20240414095003,927.46
20240414100003,1258.25
20240414101003,1308.07
20240414102003,1343.99
20240414103003,1531.98
20240414104003,1532.03
20240414105003,1549.74
20240414110003,1444.8
20240414111003,1406.32
20240414112003,1340.52
20240414113003,1124.91
20240414114003,971.18
20240414115003,751.74
20240414120003,815.05
20240414121003,875.43
20240414122003,783.82
20240414123003,1095.52
20240414124003,929.74
20240414125003,753.82
20240414130003,530.47
20240414131003,372.01
20240414132003,260.49
20240414133003,301.15
20240414134003,284.35
20240414135003,422.33
20240414140003,207.61
20240414141003,188.02
20240414142003,177.08
20240414143003,181.77
20240414144003,177.87
20240414145003,150.24
20240414150003,124.35
20240414151003,109.75
20240414152003,94.2
20240414153003,71.38
20240414154003,65.4
20240414155003,59.23
20240414160003,39.68
20240414161003,27.38
20240414162003,10.54
20240414163003,9.41
20240414164003,4.61
20240414165003,2.43
20240524090003,77.93
20240524091003,115.6
20240524092003,174.96
20240524093003,181.52
20240524094003,217.75
20240524095003,421.21
20240524100003,267.54
20240524101003,210.24
20240524102003,220.59
20240524103003,227.9
20240524104003,236.49
20240524105003,230.62
20240524110003,248.65
20240524111003,233.28
20240524112003,331.71
20240524113003,291.2
20240524114003,287.01
20240524115003,174.88
20240524120003,200.83
20240524121003,204.58
20240524122003,356.9
20240524123003,339.74
20240524124003,441.92
20240524125003,551.64
20240524130003,678.28
20240524131003,563.12
20240524132003,434.3
20240524133003,268.41
20240524134003,189.79
20240524135003,147.78
20240524140003,84.2
20240524141003,68.74
20240524142003,41.79
20240524143003,25.81
20240524144003,15.04
20240524145003,11.79
20240524150003,37.75
20240524151003,35.6
20240524152003,35.25
20240524153003,35.0
20240524154003,31.14
20240524155003,31.89
20240524160003,6.07
20240524161003,18.64
20240524162003,18.98
20240524163003,17.0
20240524164003,22.89
20240524165003,17.03
20240526090003,193.1
20240526091003,236.04
20240526092003,322.25
20240526093003,436.95
20240526094003,671.59
20240526095003,817.13
20240526100003,791.34
20240526101003,713.1
20240526102003,518.28
20240526103003,522.82
20240526104003,615.97
20240526105003,674.48
20240526110003,745.49
20240526111003,684.0
20240526112003,494.39
20240526113003,615.7
20240526114003,559.69
20240526115003,580.69
20240526120003,491.99
20240526121003,453.63
20240526122003,403.79
20240526123003,456.63
20240526124003,440.15
20240526125003,407.81
20240526130003,388.95
20240526131003,309.37
20240526132003,293.2
20240526133003,257.75
20240526134003,238.24
20240526135003,251.32
20240526140003,220.84
20240526141003,381.51
20240526142003,293.27
20240526143003,231.22
20240526144003,199.13
20240526145003,166.38
20240526150003,104.32
20240526151003,75.61
20240526152003,61.88
20240526153003,66.97
20240526154003,60.15
20240526155003,62.78
20240526160003,120.1
20240526161003,73.47
20240526162003,57.58
20240526163003,33.22
20240526164003,39.03
20240526165003,27.9
20240603090003,71.27
20240603091003,72.28
20240603092003,71.89
20240603093003,76.45
20240603094003,67.9
20240603095003,78.04
20240603100003,102.73
20240603101003,98.18
20240603102003,127.53
20240603103003,133.47
20240603104003,188.34
20240603105003,181.82
20240603110003,143.09
20240603111003,87.74
20240603112003,84.26
20240603113003,75.38
20240603114003,92.55
20240603115003,148.53
20240603120003,179.3
20240603121003,159.8
20240603122003,222.9
20240603123003,210.61
20240603124003,217.41
20240603125003,246.51
20240603130003,250.52
20240603131003,256.99
20240603132003,218.52
20240603133003,237.41
20240603134003,187.35
20240603135003,121.97
20240603140003,89.99
20240603141003,100.64
20240603142003,136.52
20240603143003,98.36
20240603144003,58.15
20240603145003,35.97
20240603150003,55.21
20240603151003,52.87
20240603152003,41.46
20240603153003,36.99
20240603154003,29.68
20240603155003,23.86
20240603160003,25.96
20240603161003,25.69
20240603162003,24.45
20240603163003,23.94
20240603164003,22.51
20240603165003,22.7
20240620090003,902.66
20240620091003,869.49
20240620092003,818.99
20240620093003,905.96
20240620094003,777.03
20240620095003,838.34
20240620100003,953.69
20240620101003,753.21
20240620102003,696.5
20240620103003,651.27
20240620104003,623.96
20240620105003,758.28
20240620110003,1205.93
20240620111003,1282.16
20240620112003,1563.87
20240620113003,1377.01
20240620114003,1652.78
20240620115003,1376.24
20240620120003,1400.58
20240620121003,1440.51
20240620122003,1407.08
20240620123003,1290.11
20240620124003,1277.84
20240620125003,1164.22
20240620130003,1197.28
20240620131003,956.62
20240620132003,970.93
20240620133003,886.25
20240620134003,834.01
20240620135003,887.64
20240620140003,907.16
20240620141003,584.87
20240620142003,470.78
20240620143003,471.89
20240620144003,443.1
20240620145003,466.51
20240620150003,283.92
