Sunlight(Lux),WSGust,WDGust,GloblRad,Precp,TxSoil0cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm,WindSpeed(m/s)_yes,Pressure(hpa)_yes,Temperature(°C)_yes,Humidity(%)_yes,Sunlight(Lux)_yes,Power(mW)_yes,WSGust_yes,WDGust_yes,GloblRad_yes,Precp_yes,TxSoil0cm_yes,TxSoil10cm_yes,TxSoil20cm_yes,TxSoil50cm_yes,TxSoil100cm_yes,Sunlight(Lux)_last_min,Sunlight(Lux)_last_2min,Time,Minute,Direction_x,Direction_y,Location,Height,Predicted_Power
62938.98870100984,2.0,208.0,0.8,0.0,19.2,19.1,19.4,20.4,21.6,0.5,1019.3,24.55,76.72,26188.08,141.65,1.2,45.0,0.5,0.0,19.0,19.2,19.5,20.4,21.5,56786.73271425938,46107.89826364831,10.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,920.61
71013.42118820664,2.0,208.0,0.8,0.0,19.2,19.1,19.4,20.4,21.6,0.41,1019.21,23.76,77.13,30228.67,184.02,1.2,45.0,0.5,0.0,19.0,19.2,19.5,20.4,21.5,62938.98870100984,56786.73271425938,11.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1082.27
55586.892179800445,2.2,14.0,1.3,0.0,19.8,19.3,19.4,20.4,21.6,1.14,1019.11,23.72,72.47,27924.08,159.55,4.0,76.0,0.9,0.0,19.4,19.3,19.5,20.4,21.5,71013.42118820664,62938.98870100984,12.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,603.05
51836.14118096741,2.2,14.0,1.3,0.0,19.8,19.3,19.4,20.4,21.6,0.97,1019.06,22.76,73.84,19764.08,82.33,4.0,76.0,0.9,0.0,19.4,19.3,19.5,20.4,21.5,55586.892179800445,71013.42118820664,13.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,585.68
51056.13517937752,2.2,14.0,1.3,0.0,19.8,19.3,19.4,20.4,21.6,0.32,1018.97,22.44,76.93,17746.5,66.13,4.0,76.0,0.9,0.0,19.4,19.3,19.5,20.4,21.5,51836.14118096741,55586.892179800445,14.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,553.72
47701.36918626211,2.2,14.0,1.3,0.0,19.8,19.3,19.4,20.4,21.6,1.36,1018.89,22.09,76.61,19899.08,83.18,4.0,76.0,0.9,0.0,19.4,19.3,19.5,20.4,21.5,51056.13517937752,51836.14118096741,15.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,541.58
46476.60678558336,2.2,14.0,1.3,0.0,19.8,19.3,19.4,20.4,21.6,0.65,1018.67,22.24,75.84,22591.58,105.86,4.0,76.0,0.9,0.0,19.4,19.3,19.5,20.4,21.5,47701.36918626211,51056.13517937752,16.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,479.36
51538.68162629256,2.2,14.0,1.3,0.0,19.8,19.3,19.4,20.4,21.6,1.0,1018.49,22.81,72.31,24256.17,121.68,4.0,76.0,0.9,0.0,19.4,19.3,19.5,20.4,21.5,46476.60678558336,47701.36918626211,17.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,488.77
45518.3415072551,1.7,36.0,0.5,0.0,19.8,19.5,19.5,20.3,21.6,1.74,1018.37,23.14,71.05,25720.67,135.72,3.9,69.0,0.7,0.0,19.5,19.4,19.5,20.4,21.6,51538.68162629256,46476.60678558336,18.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,464.43
47462.766636612,1.7,36.0,0.5,0.0,19.8,19.5,19.5,20.3,21.6,1.03,1018.17,23.08,71.42,28027.25,162.96,3.9,69.0,0.7,0.0,19.5,19.4,19.5,20.4,21.6,45518.3415072551,51538.68162629256,19.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,507.77
42302.43707884769,1.7,36.0,0.5,0.0,19.8,19.5,19.5,20.3,21.6,1.37,1018.0,23.54,69.8,26146.42,143.42,3.9,69.0,0.7,0.0,19.5,19.4,19.5,20.4,21.6,47462.766636612,45518.3415072551,20.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,408.15
38575.677204185515,1.7,36.0,0.5,0.0,19.8,19.5,19.5,20.3,21.6,1.08,1017.88,22.89,71.24,19742.92,80.97,3.9,69.0,0.7,0.0,19.5,19.4,19.5,20.4,21.6,42302.43707884769,47462.766636612,21.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,323.08
37144.07041769028,1.7,36.0,0.5,0.0,19.8,19.5,19.5,20.3,21.6,1.16,1017.77,22.43,73.02,17974.75,67.01,3.9,69.0,0.7,0.0,19.5,19.4,19.5,20.4,21.6,38575.677204185515,42302.43707884769,22.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,298.4
40177.34791443314,1.7,36.0,0.5,0.0,19.8,19.5,19.5,20.3,21.6,2.06,1017.69,21.81,75.79,17875.58,67.75,3.9,69.0,0.7,0.0,19.5,19.4,19.5,20.4,21.6,37144.07041769028,38575.677204185515,23.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,347.71
43146.47364189889,3.0,263.0,1.2,0.0,20.4,19.6,19.6,20.3,21.6,0.97,1017.57,21.45,78.64,18465.42,73.11,4.9,68.0,0.7,0.0,19.6,19.5,19.6,20.4,21.6,40177.34791443314,37144.07041769028,24.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,468.87
42584.89659573004,3.0,263.0,1.2,0.0,20.4,19.6,19.6,20.3,21.6,1.01,1017.43,21.77,76.65,17389.33,65.18,4.9,68.0,0.7,0.0,19.6,19.5,19.6,20.4,21.6,43146.47364189889,40177.34791443314,25.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,462.37
45564.930828589495,3.0,263.0,1.2,0.0,20.4,19.6,19.6,20.3,21.6,0.86,1017.34,22.1,76.17,18275.92,72.16,4.9,68.0,0.7,0.0,19.6,19.5,19.6,20.4,21.6,42584.89659573004,43146.47364189889,26.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,552.77
49019.821602494645,3.0,263.0,1.2,0.0,20.4,19.6,19.6,20.3,21.6,0.49,1017.3,21.93,76.83,16017.92,56.38,4.9,68.0,0.7,0.0,19.6,19.5,19.6,20.4,21.6,45564.930828589495,42584.89659573004,27.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,586.15
54231.542410153685,3.0,263.0,1.2,0.0,20.4,19.6,19.6,20.3,21.6,1.11,1017.28,21.69,76.48,14417.92,45.37,4.9,68.0,0.7,0.0,19.6,19.5,19.6,20.4,21.6,49019.821602494645,45564.930828589495,28.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,702.44
55479.252663517815,3.0,263.0,1.2,0.0,20.4,19.6,19.6,20.3,21.6,0.86,1017.25,21.37,78.01,14856.75,47.8,4.9,68.0,0.7,0.0,19.6,19.5,19.6,20.4,21.6,54231.542410153685,49019.821602494645,29.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,747.38
55469.619221894565,2.6,237.0,1.9,0.0,21.6,19.9,19.7,20.3,21.6,0.6,1017.24,21.5,78.3,15631.25,53.05,4.1,67.0,0.5,0.0,19.7,19.6,19.7,20.3,21.5,55479.252663517815,54231.542410153685,30.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,834.2
56318.17023850459,2.6,237.0,1.9,0.0,21.6,19.9,19.7,20.3,21.6,0.76,1017.14,21.77,76.81,17187.83,62.33,4.1,67.0,0.5,0.0,19.7,19.6,19.7,20.3,21.5,55469.619221894565,55479.252663517815,31.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,863.27
52911.623755765366,2.6,237.0,1.9,0.0,21.6,19.9,19.7,20.3,21.6,1.27,1017.14,21.83,76.13,17206.08,62.26,4.1,67.0,0.5,0.0,19.7,19.6,19.7,20.3,21.5,56318.17023850459,55469.619221894565,32.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,726.37
49344.543920453936,2.6,237.0,1.9,0.0,21.6,19.9,19.7,20.3,21.6,1.45,1017.12,21.34,77.63,15870.92,52.46,4.1,67.0,0.5,0.0,19.7,19.6,19.7,20.3,21.5,52911.623755765366,56318.17023850459,33.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,720.88
55715.2561864312,2.6,237.0,1.9,0.0,21.6,19.9,19.7,20.3,21.6,1.39,1017.09,20.97,79.52,12809.66,35.3,4.1,67.0,0.5,0.0,19.7,19.6,19.7,20.3,21.5,49344.543920453936,52911.623755765366,34.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,894.23
54322.334721826934,2.6,237.0,1.9,0.0,21.6,19.9,19.7,20.3,21.6,0.61,1017.14,20.74,81.26,10461.83,23.73,4.1,67.0,0.5,0.0,19.7,19.6,19.7,20.3,21.5,55715.2561864312,49344.543920453936,35.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,801.2
51373.84322499924,2.5,220.0,1.5,0.0,22.2,20.4,19.9,20.3,21.6,0.63,1017.18,20.72,81.49,8839.75,16.96,4.4,87.0,0.5,0.0,19.7,19.7,19.7,20.3,21.5,54322.334721826934,55715.2561864312,36.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,715.03
45274.66444689506,2.5,220.0,1.5,0.0,22.2,20.4,19.9,20.3,21.6,0.43,1017.22,20.57,81.89,9475.17,19.01,4.4,87.0,0.5,0.0,19.7,19.7,19.7,20.3,21.5,51373.84322499924,54322.334721826934,37.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,634.56
44059.607181631756,2.5,220.0,1.5,0.0,22.2,20.4,19.9,20.3,21.6,1.01,1017.28,20.51,82.97,8506.67,15.8,4.4,87.0,0.5,0.0,19.7,19.7,19.7,20.3,21.5,45274.66444689506,51373.84322499924,38.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,639.03
38782.6513992219,2.5,220.0,1.5,0.0,22.2,20.4,19.9,20.3,21.6,0.76,1017.37,20.02,84.85,6574.08,9.74,4.4,87.0,0.5,0.0,19.7,19.7,19.7,20.3,21.5,44059.607181631756,45274.66444689506,39.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,491.24
34945.254193456356,2.5,220.0,1.5,0.0,22.2,20.4,19.9,20.3,21.6,0.65,1017.38,19.65,87.26,5109.92,6.08,4.4,87.0,0.5,0.0,19.7,19.7,19.7,20.3,21.5,38782.6513992219,44059.607181631756,40.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,352.81
33028.68779088799,2.5,220.0,1.5,0.0,22.2,20.4,19.9,20.3,21.6,0.2,1017.39,19.42,88.92,4295.08,4.26,4.4,87.0,0.5,0.0,19.7,19.7,19.7,20.3,21.5,34945.254193456356,38782.6513992219,41.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,346.04
27713.1867859145,2.8,154.0,1.0,0.0,22.0,20.7,20.1,20.4,21.6,0.19,1017.33,19.36,89.62,4083.33,3.88,4.9,24.0,0.2,0.0,19.6,19.8,19.8,20.4,21.6,33028.68779088799,34945.254193456356,42.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,232.23
19766.662627126472,2.8,154.0,1.0,0.0,22.0,20.7,20.1,20.4,21.6,0.25,1017.4,19.28,89.92,3379.33,2.75,4.9,24.0,0.2,0.0,19.6,19.8,19.8,20.4,21.6,27713.1867859145,33028.68779088799,43.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,130.94
13924.473958213326,2.8,154.0,1.0,0.0,22.0,20.7,20.1,20.4,21.6,0.2,1017.53,19.08,91.44,3015.25,2.18,4.9,24.0,0.2,0.0,19.6,19.8,19.8,20.4,21.6,19766.662627126472,27713.1867859145,44.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,67.16
9992.359395879617,2.8,154.0,1.0,0.0,22.0,20.7,20.1,20.4,21.6,0.05,1017.62,18.8,94.76,2842.58,1.91,4.9,24.0,0.2,0.0,19.6,19.8,19.8,20.4,21.6,13924.473958213326,19766.662627126472,45.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,49.56
8390.612600107926,2.8,154.0,1.0,0.0,22.0,20.7,20.1,20.4,21.6,0.16,1017.64,18.59,97.42,2650.5,1.68,4.9,24.0,0.2,0.0,19.6,19.8,19.8,20.4,21.6,9992.359395879617,13924.473958213326,46.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,34.98
6745.522170076442,2.8,154.0,1.0,0.0,22.0,20.7,20.1,20.4,21.6,0.03,1017.64,18.33,99.69,2320.08,1.27,4.9,24.0,0.2,0.0,19.6,19.8,19.8,20.4,21.6,8390.612600107926,9992.359395879617,47.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,28.21
30430.54134150056,2.5,213.0,0.7,0.0,19.0,19.1,19.5,20.6,21.5,0.01,1014.08,30.03,49.19,84495.35,1368.46,2.2,192.0,0.9,0.0,17.4,18.1,18.9,20.4,21.6,28525.25,23117.58,0.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,179.08
33625.62281963604,2.5,213.0,0.7,0.0,19.0,19.1,19.5,20.6,21.5,0.61,1014.09,32.45,41.67,89683.65,1459.29,2.2,192.0,0.9,0.0,17.4,18.1,18.9,20.4,21.6,30430.54134150056,28525.25,1.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,244.76
35593.87695218028,2.5,213.0,0.7,0.0,19.0,19.1,19.5,20.6,21.5,0.96,1014.05,32.09,39.23,93870.91,1545.92,2.2,192.0,0.9,0.0,17.4,18.1,18.9,20.4,21.6,33625.62281963604,30430.54134150056,2.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,239.23
38769.11501496589,2.5,213.0,0.7,0.0,19.0,19.1,19.5,20.6,21.5,0.88,1013.91,32.28,38.97,98666.4,1604.36,2.2,192.0,0.9,0.0,17.4,18.1,18.9,20.4,21.6,35593.87695218028,33625.62281963604,3.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,315.5
41696.78931008073,2.5,213.0,0.7,0.0,19.0,19.1,19.5,20.6,21.5,1.33,1013.83,32.2,37.5,103853.8,1663.6,2.2,192.0,0.9,0.0,17.4,18.1,18.9,20.4,21.6,38769.11501496589,35593.87695218028,4.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,361.06
51710.97424814698,2.5,213.0,0.7,0.0,19.0,19.1,19.5,20.6,21.5,1.8,1013.68,31.61,39.9,107383.4,1702.85,2.2,192.0,0.9,0.0,17.4,18.1,18.9,20.4,21.6,41696.78931008073,38769.11501496589,5.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,547.19
56321.47421316291,2.4,215.0,1.0,0.0,19.6,19.2,19.5,20.5,21.5,1.27,1013.58,31.31,42.11,108657.74,1727.06,3.2,194.0,1.9,0.0,18.4,18.2,18.8,20.4,21.6,51710.97424814698,41696.78931008073,6.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,757.42
59550.83588372869,2.4,215.0,1.0,0.0,19.6,19.2,19.5,20.5,21.5,0.9,1013.24,32.43,39.17,109899.74,1726.61,3.2,194.0,1.9,0.0,18.4,18.2,18.8,20.4,21.6,56321.47421316291,51710.97424814698,7.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,849.87
67378.35566350925,2.4,215.0,1.0,0.0,19.6,19.2,19.5,20.5,21.5,0.66,1012.93,34.0,34.58,110294.16,1736.01,3.2,194.0,1.9,0.0,18.4,18.2,18.8,20.4,21.6,59550.83588372869,56321.47421316291,8.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1029.63
74082.00937913518,2.4,215.0,1.0,0.0,19.6,19.2,19.5,20.5,21.5,0.56,1012.76,34.63,33.86,108056.15,1737.77,3.2,194.0,1.9,0.0,18.4,18.2,18.8,20.4,21.6,67378.35566350925,59550.83588372869,9.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1172.73
76073.40916273794,2.4,215.0,1.0,0.0,19.6,19.2,19.5,20.5,21.5,0.79,1012.57,35.18,33.67,108845.16,1736.75,3.2,194.0,1.9,0.0,18.4,18.2,18.8,20.4,21.6,74082.00937913518,67378.35566350925,10.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1194.36
74479.96040645766,2.4,215.0,1.0,0.0,19.6,19.2,19.5,20.5,21.5,0.88,1012.45,35.55,33.17,109959.04,1741.83,3.2,194.0,1.9,0.0,18.4,18.2,18.8,20.4,21.6,76073.40916273794,74082.00937913518,11.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1154.61
77515.94476269654,2.2,207.0,1.4,0.0,20.3,19.5,19.6,20.5,21.6,0.43,1012.42,35.7,31.15,112251.49,1740.59,2.9,199.0,2.4,0.0,19.9,18.6,18.8,20.3,21.6,74479.96040645766,76073.40916273794,12.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1237.26
81496.01533201705,2.2,207.0,1.4,0.0,20.3,19.5,19.6,20.5,21.6,0.88,1012.23,36.05,29.34,114061.13,1752.37,2.9,199.0,2.4,0.0,19.9,18.6,18.8,20.3,21.6,77515.94476269654,74479.96040645766,13.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1265.06
77077.40544852735,2.2,207.0,1.4,0.0,20.3,19.5,19.6,20.5,21.6,0.69,1012.14,35.77,28.55,115119.12,1753.92,2.9,199.0,2.4,0.0,19.9,18.6,18.8,20.3,21.6,81496.01533201705,77515.94476269654,14.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1159.3
74935.83138888386,2.2,207.0,1.4,0.0,20.3,19.5,19.6,20.5,21.6,0.14,1011.9,36.67,28.63,114884.81,1706.5,2.9,199.0,2.4,0.0,19.9,18.6,18.8,20.3,21.6,77077.40544852735,81496.01533201705,15.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1127.38
72896.75964842958,2.2,207.0,1.4,0.0,20.3,19.5,19.6,20.5,21.6,0.01,1011.69,39.14,27.03,113928.7,1663.33,2.9,199.0,2.4,0.0,19.9,18.6,18.8,20.3,21.6,74935.83138888386,77077.40544852735,16.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1033.1
74564.75154209575,2.2,207.0,1.4,0.0,20.3,19.5,19.6,20.5,21.6,0.7,1011.45,40.79,22.84,112514.38,1677.84,2.9,199.0,2.4,0.0,19.9,18.6,18.8,20.3,21.6,72896.75964842958,74935.83138888386,17.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1126.69
66917.85247962463,2.2,17.0,2.1,0.0,21.4,19.8,19.7,20.5,21.5,0.04,1011.29,39.92,24.35,110597.11,1676.61,2.8,215.0,2.7,0.0,21.3,19.1,19.0,20.3,21.6,74564.75154209575,72896.75964842958,18.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,998.3
57370.729807548196,2.2,17.0,2.1,0.0,21.4,19.8,19.7,20.5,21.5,0.2,1010.99,40.53,24.65,109746.47,1780.97,2.8,215.0,2.7,0.0,21.3,19.1,19.0,20.3,21.6,66917.85247962463,74564.75154209575,19.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,769.98
60410.41125868934,2.2,17.0,2.1,0.0,21.4,19.8,19.7,20.5,21.5,0.11,1010.9,39.26,26.14,106713.21,1733.12,2.8,215.0,2.7,0.0,21.3,19.1,19.0,20.3,21.6,57370.729807548196,66917.85247962463,20.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,938.45
57521.588805271385,2.2,17.0,2.1,0.0,21.4,19.8,19.7,20.5,21.5,0.31,1010.72,39.32,25.87,104587.82,1751.44,2.8,215.0,2.7,0.0,21.3,19.1,19.0,20.3,21.6,60410.41125868934,57370.729807548196,21.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,798.01
61433.93167756609,2.2,17.0,2.1,0.0,21.4,19.8,19.7,20.5,21.5,0.21,1010.49,39.33,26.21,104032.59,1710.76,2.8,215.0,2.7,0.0,21.3,19.1,19.0,20.3,21.6,57521.588805271385,60410.41125868934,22.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,943.75
71649.0826132635,2.2,17.0,2.1,0.0,21.4,19.8,19.7,20.5,21.5,0.29,1010.28,39.55,25.38,101874.54,1717.95,2.8,215.0,2.7,0.0,21.3,19.1,19.0,20.3,21.6,61433.93167756609,57521.588805271385,23.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1169.5
66215.98722428127,3.2,124.0,1.9,0.0,22.1,20.3,19.9,20.5,21.6,0.6,1010.2,38.19,25.39,100033.82,1748.81,3.3,80.0,2.7,0.0,23.0,19.8,19.2,20.3,21.6,71649.0826132635,61433.93167756609,24.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1085.51
65521.5684673644,3.2,124.0,1.9,0.0,22.1,20.3,19.9,20.5,21.6,0.31,1010.09,36.84,27.0,95635.44,1663.62,3.3,80.0,2.7,0.0,23.0,19.8,19.2,20.3,21.6,66215.98722428127,71649.0826132635,25.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1049.78
73051.99527929748,3.2,124.0,1.9,0.0,22.1,20.3,19.9,20.5,21.6,0.46,1010.05,36.94,26.45,87585.8,1489.6,3.3,80.0,2.7,0.0,23.0,19.8,19.2,20.3,21.6,65521.5684673644,66215.98722428127,26.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1231.24
65298.619881024446,3.2,124.0,1.9,0.0,22.1,20.3,19.9,20.5,21.6,0.35,1009.92,36.32,27.38,92313.38,1591.46,3.3,80.0,2.7,0.0,23.0,19.8,19.2,20.3,21.6,73051.99527929748,65521.5684673644,27.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1055.44
55789.70781742245,3.2,124.0,1.9,0.0,22.1,20.3,19.9,20.5,21.6,0.49,1009.74,36.37,27.15,89736.66,1532.31,3.3,80.0,2.7,0.0,23.0,19.8,19.2,20.3,21.6,65298.619881024446,73051.99527929748,28.0,40.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,766.16
48852.410685174684,3.2,124.0,1.9,0.0,22.1,20.3,19.9,20.5,21.6,0.35,1009.57,36.32,27.23,87194.98,1482.44,3.3,80.0,2.7,0.0,23.0,19.8,19.2,20.3,21.6,55789.70781742245,65298.619881024446,29.0,50.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,595.22
64778.35333958142,3.4,27.0,1.7,0.0,22.8,20.8,20.1,20.5,21.6,0.2,1009.58,36.78,27.37,81503.92,1420.54,3.2,90.0,2.4,0.0,23.8,20.4,19.5,20.3,21.6,48852.410685174684,55789.70781742245,30.0,0.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1085.98
57349.14092574234,3.4,27.0,1.7,0.0,22.8,20.8,20.1,20.5,21.6,0.28,1009.51,37.12,27.18,73917.15,1331.93,3.2,90.0,2.4,0.0,23.8,20.4,19.5,20.3,21.6,64778.35333958142,48852.410685174684,31.0,10.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,881.6
67279.48339378925,3.4,27.0,1.7,0.0,22.8,20.8,20.1,20.5,21.6,0.11,1009.45,37.25,26.84,69590.45,1233.15,3.2,90.0,2.4,0.0,23.8,20.4,19.5,20.3,21.6,57349.14092574234,64778.35333958142,32.0,20.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,1136.74
45636.70599157227,3.4,27.0,1.7,0.0,22.8,20.8,20.1,20.5,21.6,0.32,1009.37,37.11,26.6,64916.6,1134.52,3.2,90.0,2.4,0.0,23.8,20.4,19.5,20.3,21.6,67279.48339378925,57349.14092574234,33.0,30.0,-0.9998476951563913,-0.017452406437283637,1.0,5.0,667.11
